Table 1 ,,,,,
Incidents,,,,,
"by Bias Motivation, 2015-2019",,,,,
,2015,2016,2017,2018,2019
Total,5850,6121,7175,7120,7314
Single-Bias Incidents,5818,6063,7106,7036,7103
Race/Ethnicity/Ancestry:,3310,3489,4131,4047,3963
Anti-White,613,720,741,762,666
Anti-Black or African American,1745,1739,2013,1943,1930
Anti-American Indian or Alaska Native,131,154,251,194,119
Anti-Asian,111,113,131,148,158
Anti-Native Hawaiian or Other Pacific Islander,4,9,16,20,21
"Anti-Multiple Races, Group",113,136,180,137,134
Anti-Arab,37,51,102,82,95
Anti-Hispanic or Latino,299,344,427,485,527
Anti-Other Race/Ethnicity/Ancestry,257,223,270,276,313
Religion:,1244,1273,1564,1419,1521
Anti-Jewish,664,684,938,835,953
Anti-Catholic,53,62,73,53,64
Anti-Protestant,37,15,40,34,24
Anti-Islamic (Muslim),257,307,273,188,176
Anti-Other Religion,96,74,76,91,88
"Anti-Multiple Religions, Group",51,34,47,46,37
Anti-Mormon,8,7,15,9,12
Anti-Jehovah's Witness,1,2,7,9,7
"Anti-Eastern Orthodox (Russian, Greek, Other)",48,28,23,31,44
Anti-Other Christian,15,36,27,35,49
Anti-Buddhist,1,1,8,10,5
Anti-Hindu,5,10,11,12,7
Anti-Sikh,6,7,20,60,49
Anti-Atheism/Agnosticism/etc.,2,6,6,6,6
Sexual Orientation:,1053,1076,1130,1196,1195
Anti-Gay (Male),664,675,679,726,746
Anti-Lesbian,136,124,126,129,115
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",203,234,268,303,291
Anti-Heterosexual,19,20,32,17,17
Anti-Bisexual,31,23,25,21,26
Disability:,74,70,116,159,157
Anti-Physical,43,26,32,60,49
Anti-Mental,31,44,84,99,108
Gender:,23,31,46,47,69
Anti-Male,7,7,22,22,17
Anti-Female,16,24,24,25,52
Gender Identity:,114,124,119,168,198
Anti-Transgender,73,105,106,142,151
Anti-Gender Non-Conforming,41,19,13,26,47
Multiple-Bias Incidents3,32,58,69,84,211
"1 The term victim may refer to a person, business, institution, or society as a whole.",,,,,
"2 The term known offender does not imply that the identity of the suspect is known, but only that an attribute of the suspect has been identified, which distinguishes him/her from an unknown offender.",,,,,
3 A multiple-bias incident is an incident in which one or more offense types are motivated by two or more biases.,,,,,